archivo,linea,contenido
Adele_SomeoneLikeYou_METADATA.yaml,17,instrument: piano
Adele_SomeoneLikeYou_METADATA.yaml,21,instrument: piano
Adele_SomeoneLikeYou_METADATA.yaml,24,instrument: piano
Aerosmith_LoveInAnElevator_METADATA.yaml,72,#NAME?
Aerosmith_LoveInAnElevator_METADATA.yaml,82,#NAME?
Aerosmith_LoveInAnElevator_METADATA.yaml,91,#NAME?
AimeeNorwich_Child_METADATA.yaml,128,instrument: piano
AimeeNorwich_Child_METADATA.yaml,132,instrument: piano
AimeeNorwich_Child_METADATA.yaml,135,instrument: piano
AimeeNorwich_Flying_METADATA.yaml,146,instrument: piano
AimeeNorwich_Flying_METADATA.yaml,150,instrument: piano
AimeeNorwich_Flying_METADATA.yaml,153,instrument: piano
AimeeNorwich_Flying_METADATA.yaml,156,instrument: piano
AimeeNorwich_Flying_METADATA.yaml,159,instrument: piano
ArcadeFire_BlackMirror_METADATA.yaml,40,#NAME?
ArcadeFire_BlackMirror_METADATA.yaml,47,#NAME?
ArcadeFire_BlackMirror_METADATA.yaml,105,#NAME?
ArcadeFire_BlackMirror_METADATA.yaml,111,#NAME?
Auctioneer_OurFutureFaces_METADATA.yaml,200,instrument: piano
Auctioneer_OurFutureFaces_METADATA.yaml,204,instrument: piano
Auctioneer_OurFutureFaces_METADATA.yaml,207,instrument: piano
BarefootSisters_RedJetta_METADATA.yaml,51,instrument: piano
BarefootSisters_RedJetta_METADATA.yaml,55,instrument: piano
BarefootSisters_RedJetta_METADATA.yaml,58,instrument: piano
Blink182_AllTheSmallThings_METADATA.yaml,75,#NAME?
Blink182_AllTheSmallThings_METADATA.yaml,85,#NAME?
Blink182_AllTheSmallThings_METADATA.yaml,94,#NAME?
BobSeger_OldTimeRockAndRoll_METADATA.yaml,85,instrument: piano
BobSeger_OldTimeRockAndRoll_METADATA.yaml,89,instrument: piano
BobSeger_OldTimeRockAndRoll_METADATA.yaml,92,instrument: piano
BrandonWebster_DontHearAThing_METADATA.yaml,35,instrument: piano
BrandonWebster_DontHearAThing_METADATA.yaml,39,instrument: piano
BrandonWebster_DontHearAThing_METADATA.yaml,42,instrument: piano
BrandonWebster_YesSirICanFly_METADATA.yaml,19,instrument: piano
BrandonWebster_YesSirICanFly_METADATA.yaml,23,instrument: piano
BrandonWebster_YesSirICanFly_METADATA.yaml,26,instrument: piano
BrunoMars_Grenade_METADATA.yaml,61,instrument: electric piano
BrunoMars_Grenade_METADATA.yaml,65,instrument: electric piano
BrunoMars_Grenade_METADATA.yaml,68,instrument: electric piano
BrunoMars_JustTheWayYouAre_METADATA.yaml,34,instrument: piano
BrunoMars_JustTheWayYouAre_METADATA.yaml,38,instrument: piano
BrunoMars_JustTheWayYouAre_METADATA.yaml,41,instrument: piano
CarrieUnderwood_HomeSweetHome_METADATA.yaml,50,instrument: piano
CarrieUnderwood_HomeSweetHome_METADATA.yaml,54,instrument: piano
CarrieUnderwood_HomeSweetHome_METADATA.yaml,57,instrument: piano
CassandraJenkins_PerfectDay_METADATA.yaml,87,instrument: piano
CassandraJenkins_PerfectDay_METADATA.yaml,91,instrument: piano
CassandraJenkins_PerfectDay_METADATA.yaml,94,instrument: piano
CassandraJenkins_PerfectDay_METADATA.yaml,97,instrument: piano
CassandraJenkins_PerfectDay_METADATA.yaml,100,instrument: piano
CeeloGreen_ForgetYou_METADATA.yaml,50,instrument: piano
CeeloGreen_ForgetYou_METADATA.yaml,54,instrument: piano
CeeloGreen_ForgetYou_METADATA.yaml,57,instrument: piano
CelestialShore_DieForUs_METADATA.yaml,113,instrument: tack piano
CelestialShore_DieForUs_METADATA.yaml,117,instrument: tack piano
CelestialShore_DieForUs_METADATA.yaml,120,instrument: tack piano
CherryPoppinDaddies_ZootSuitRiot_METADATA.yaml,83,instrument: piano
