archivo,linea,contenido
Adele_SomeoneLikeYou_METADATA.yaml,17,instrument: piano
Aerosmith_LoveInAnElevator_METADATA.yaml,72,#NAME?
AimeeNorwich_Child_METADATA.yaml,128,instrument: piano
AimeeNorwich_Flying_METADATA.yaml,146,instrument: piano
ArcadeFire_BlackMirror_METADATA.yaml,40,#NAME?
Auctioneer_OurFutureFaces_METADATA.yaml,200,instrument: piano
BarefootSisters_RedJetta_METADATA.yaml,51,instrument: piano
Blink182_AllTheSmallThings_METADATA.yaml,75,#NAME?
BobSeger_OldTimeRockAndRoll_METADATA.yaml,85,instrument: piano
BrandonWebster_DontHearAThing_METADATA.yaml,35,instrument: piano
BrandonWebster_YesSirICanFly_METADATA.yaml,19,instrument: piano
BrunoMars_Grenade_METADATA.yaml,61,instrument: electric piano
BrunoMars_JustTheWayYouAre_METADATA.yaml,34,instrument: piano
CarrieUnderwood_HomeSweetHome_METADATA.yaml,50,instrument: piano
CassandraJenkins_PerfectDay_METADATA.yaml,87,instrument: piano
CeeloGreen_ForgetYou_METADATA.yaml,50,instrument: piano
CelestialShore_DieForUs_METADATA.yaml,113,instrument: tack piano
CherryPoppinDaddies_ZootSuitRiot_METADATA.yaml,83,instrument: piano
ChristinaAguilera_GenieInABottle_METADATA.yaml,72,instrument: piano
ClaraBerryAndWooldog_AirTraffic_METADATA.yaml,59,instrument: piano
ClaraBerryAndWooldog_Boys_METADATA.yaml,81,instrument: piano
ClaraBerryAndWooldog_Stella_METADATA.yaml,90,instrument: piano
ClaraBerryAndWooldog_TheBadGuys_METADATA.yaml,19,instrument: piano
ClaraBerryAndWooldog_WaltzForMyVictims_METADATA.yaml,38,instrument: piano
CroqueMadame_Oil_METADATA.yaml,19,instrument: piano
CroqueMadame_Pilot_METADATA.yaml,19,instrument: piano
Debussy_LenfantProdigue_METADATA.yaml,27,instrument: piano
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,8,mix_filename: DeclareAString_MendelssohnPianoTrio1Movement1_MIX.wav
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,8,mix_filename: DeclareAString_MendelssohnPianoTrio1Movement2_MIX.wav
EthanHein_GirlOnABridge_METADATA.yaml,30,instrument: piano
Grants_PunchDrunk_METADATA.yaml,149,instrument: piano
Handel_TornamiAVagheggiar_METADATA.yaml,27,instrument: piano
HeladoNegro_MitadDelMundo_METADATA.yaml,127,instrument: tack piano
InvisibleFamiliars_DisturbingWildlife_METADATA.yaml,146,instrument: tack piano
JoelHelander_Definition_METADATA.yaml,20,instrument: piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,20,instrument: tack piano
KanyeWest_LoveLockdown_METADATA.yaml,61,instrument: piano
KarimDouaidy_Hopscotch_METADATA.yaml,98,instrument: piano
KarimDouaidy_Yatora_METADATA.yaml,63,instrument: piano
Katzn_CharlieKnox_METADATA.yaml,40,instrument: piano
LewisAndClarke_TheSilverSea_METADATA.yaml,285,instrument: electric piano
LilyAllen_NotFair_METADATA.yaml,111,instrument: piano
LinkinPark_InTheEnd_METADATA.yaml,80,#NAME?
LittleTybee_TheAlchemist_METADATA.yaml,147,instrument: electric piano
Lushlife_ToynbeeSuite_METADATA.yaml,283,instrument: piano
MarvinGaye_WhatsGoingOn_METADATA.yaml,25,instrument: piano
MatthewEntwistle_AnEveningWithOliver_METADATA.yaml,99,instrument: piano
MatthewEntwistle_DontYouEver_METADATA.yaml,27,instrument: piano
MatthewEntwistle_FairerHopes_METADATA.yaml,115,instrument: piano
MatthewEntwistle_ImpressionsOfSaturn_METADATA.yaml,59,instrument: piano
MatthewEntwistle_Lontano_METADATA.yaml,19,instrument: piano
MatthewEntwistle_ReturnToVenezia_METADATA.yaml,28,instrument: piano
MatthewEntwistle_TheArch_METADATA.yaml,155,instrument: piano
MatthewEntwistle_TheFlaxenField_METADATA.yaml,35,instrument: piano
MichaelKropf_AllGoodThings_METADATA.yaml,19,instrument: piano
MidnightBlue_HuntingSeason_METADATA.yaml,112,instrument: piano
MikeOldfield_Quicksilver_METADATA.yaml,17,instrument: piano
Mozart_BesterJungling_METADATA.yaml,27,instrument: piano
Mozart_DiesBildnis_METADATA.yaml,27,instrument: piano
MusicDelta_BebopJazz_METADATA.yaml,35,instrument: piano
MusicDelta_CoolJazz_METADATA.yaml,35,instrument: piano
MusicDelta_FunkJazz_METADATA.yaml,35,instrument: electric piano
MusicDelta_FusionJazz_METADATA.yaml,35,instrument: electric piano
MusicDelta_LatinJazz_METADATA.yaml,35,instrument: electric piano
MusicDelta_ModalJazz_METADATA.yaml,35,instrument: piano
MusicDelta_SwingJazz_METADATA.yaml,35,instrument: piano
MutualBenefit_NotForNothing_METADATA.yaml,179,instrument: piano
PeterMatthewBauer_YouAlwaysLookForSomeoneLost_METADATA.yaml,45,instrument: piano
PoliceHearingDepartment_Brahms_METADATA.yaml,42,instrument: piano
PoliceHearingDepartment_SchumannMovement1_METADATA.yaml,75,instrument: piano
PoliceHearingDepartment_SchumannMovement2_METADATA.yaml,75,instrument: piano
PortStWillow_StayEven_METADATA.yaml,161,instrument: piano
QuantumChromos_Circuits_METADATA.yaml,51,instrument: piano
RodrigoBonelli_BalladForLaura_METADATA.yaml,92,instrument: piano
SasquatchConnection_BoomBoxing_METADATA.yaml,45,instrument: piano
SasquatchConnection_HolyClamsBatman_METADATA.yaml,39,instrument: piano
SasquatchConnection_Illuminati_METADATA.yaml,79,instrument: piano
SasquatchConnection_Struttin_METADATA.yaml,28,instrument: piano
SasquatchConnection_ThanksALatte_METADATA.yaml,17,instrument: piano
Schubert_Erstarrung_METADATA.yaml,27,instrument: piano
Schumann_Mignon_METADATA.yaml,19,instrument: piano
SecretMountains_HighHorse_METADATA.yaml,109,instrument: piano
SlowGhost_FirstSnow_METADATA.yaml,54,instrument: electric piano
SlowGhost_MidnightGroove_METADATA.yaml,63,instrument: electric piano
SlowGhost_Peanut_METADATA.yaml,63,instrument: electric piano
SlowGhost_YoureAMystery_METADATA.yaml,17,instrument: electric piano
Snowmine_Curfews_METADATA.yaml,228,instrument: tack piano
SongYiJeon_TwoMoons_METADATA.yaml,25,instrument: piano
StevenClark_Bounty_METADATA.yaml,170,instrument: piano
StrandOfOaks_Spacestation_METADATA.yaml,95,instrument: piano
Sweat_AlmostAlways_METADATA.yaml,176,instrument: piano
Sweat_Anecdoche_METADATA.yaml,228,instrument: piano
Sweat_Elegy_METADATA.yaml,171,instrument: piano
Sweat_Mesozoic_METADATA.yaml,134,instrument: piano
Sweat_Sn1572_METADATA.yaml,163,instrument: electric piano
Sweat_Tact_METADATA.yaml,34,instrument: piano
SweetLights_YouLetMeDown_METADATA.yaml,190,instrument: piano
TheAllAmericanRejects_DirtyLittleSecret_METADATA.yaml,70,#NAME?
TheAllmanBrothersBand_RamblinMan_METADATA.yaml,93,#NAME?
TheBeatles_WhenIm64_METADATA.yaml,67,instrument: piano
TheFranckDuo_FranckViolinSonataInAMajorMovement1_METADATA.yaml,42,instrument: piano
TheFranckDuo_FranckViolinSonataInAMajorMovement2_METADATA.yaml,34,instrument: piano
TheKitchenettes_Alive_METADATA.yaml,55,instrument: piano
TheLastGoodnight_PicturesOfYou_METADATA.yaml,47,#NAME?
TPain_Bartender_METADATA.yaml,28,instrument: electric piano
Verdi_IlTrovatore_METADATA.yaml,34,instrument: piano
Wolf_DieBekherte_METADATA.yaml,27,instrument: piano
