archivo,linea,contenido
metadata.yaml,29,inst_class: Piano
metadata.yaml,32,midi_program_name: Bright Acoustic Piano
metadata_1.yaml,65,inst_class: Piano
metadata_10.yaml,29,inst_class: Piano
metadata_10.yaml,32,midi_program_name: Bright Acoustic Piano
metadata_100.yaml,29,inst_class: Piano
metadata_100.yaml,32,midi_program_name: Acoustic Grand Piano
metadata_100.yaml,34,plugin_name: ragtime_piano.nkm
metadata_100.yaml,55,inst_class: Piano
metadata_100.yaml,58,midi_program_name: Electric Piano 2
metadata_101.yaml,29,inst_class: Piano
metadata_101.yaml,32,midi_program_name: Bright Acoustic Piano
metadata_102.yaml,56,inst_class: Piano
metadata_102.yaml,59,midi_program_name: Electric Piano 2
metadata_103.yaml,29,inst_class: Piano
metadata_103.yaml,32,midi_program_name: Electric Piano 1
metadata_103.yaml,83,inst_class: Piano
metadata_103.yaml,86,midi_program_name: Electric Piano 2
metadata_104.yaml,38,inst_class: Piano
metadata_104.yaml,41,midi_program_name: Bright Acoustic Piano
metadata_105.yaml,73,inst_class: Piano
metadata_105.yaml,76,midi_program_name: Electric Piano 1
metadata_105.yaml,99,inst_class: Piano
metadata_105.yaml,102,midi_program_name: Acoustic Grand Piano
metadata_105.yaml,104,plugin_name: ragtime_piano.nkm
metadata_106.yaml,20,inst_class: Piano
metadata_106.yaml,23,midi_program_name: Electric Piano 1
metadata_106.yaml,47,inst_class: Piano
metadata_106.yaml,50,midi_program_name: Acoustic Grand Piano
metadata_106.yaml,52,plugin_name: grand_piano.nkm
metadata_107.yaml,11,inst_class: Piano
metadata_107.yaml,14,midi_program_name: Electric Piano 2
metadata_107.yaml,20,inst_class: Piano
metadata_107.yaml,23,midi_program_name: Electric Piano 2
metadata_108.yaml,56,inst_class: Piano
metadata_108.yaml,59,midi_program_name: Electric Piano 2
metadata_109.yaml,64,inst_class: Piano
metadata_109.yaml,67,midi_program_name: Electric Piano 1
metadata_11.yaml,38,inst_class: Piano
metadata_11.yaml,41,midi_program_name: Honky-tonk Piano
metadata_11.yaml,47,inst_class: Piano
metadata_11.yaml,50,midi_program_name: Electric Piano 1
metadata_110.yaml,29,inst_class: Piano
metadata_110.yaml,32,midi_program_name: Electric Piano 1
metadata_111.yaml,38,inst_class: Piano
metadata_111.yaml,41,midi_program_name: Bright Acoustic Piano
metadata_112.yaml,11,inst_class: Piano
metadata_112.yaml,14,midi_program_name: Bright Acoustic Piano
metadata_113.yaml,81,inst_class: Piano
metadata_113.yaml,84,midi_program_name: Bright Acoustic Piano
metadata_114.yaml,20,inst_class: Piano
metadata_114.yaml,23,midi_program_name: Electric Piano 2
metadata_115.yaml,11,inst_class: Piano
metadata_115.yaml,14,midi_program_name: Bright Acoustic Piano
metadata_116.yaml,19,inst_class: Piano
metadata_116.yaml,22,midi_program_name: Bright Acoustic Piano
metadata_116.yaml,37,inst_class: Piano
metadata_116.yaml,40,midi_program_name: Bright Acoustic Piano
metadata_116.yaml,106,inst_class: Piano
metadata_116.yaml,109,midi_program_name: Acoustic Grand Piano
metadata_117.yaml,11,inst_class: Piano
metadata_117.yaml,14,midi_program_name: Electric Piano 1
metadata_118.yaml,11,inst_class: Piano
metadata_118.yaml,14,midi_program_name: Bright Acoustic Piano
metadata_118.yaml,16,plugin_name: grand_piano.nkm
metadata_118.yaml,65,inst_class: Piano
metadata_118.yaml,68,midi_program_name: Honky-tonk Piano
metadata_118.yaml,74,inst_class: Piano
metadata_118.yaml,77,midi_program_name: Honky-tonk Piano
metadata_119.yaml,29,inst_class: Piano
metadata_119.yaml,32,midi_program_name: Electric Piano 2
metadata_119.yaml,100,inst_class: Piano
metadata_119.yaml,103,midi_program_name: Electric Grand Piano
metadata_12.yaml,37,inst_class: Piano
metadata_12.yaml,40,midi_program_name: Electric Piano 1
metadata_120.yaml,65,inst_class: Piano
metadata_120.yaml,68,midi_program_name: Electric Piano 2
metadata_121.yaml,20,inst_class: Piano
metadata_121.yaml,23,midi_program_name: Electric Piano 1
metadata_122.yaml,37,inst_class: Piano
metadata_123.yaml,20,inst_class: Piano
metadata_123.yaml,23,midi_program_name: Bright Acoustic Piano
metadata_123.yaml,65,inst_class: Piano
metadata_123.yaml,68,midi_program_name: Acoustic Grand Piano
metadata_124.yaml,72,inst_class: Piano
metadata_124.yaml,75,midi_program_name: Bright Acoustic Piano
metadata_124.yaml,77,plugin_name: grand_piano.nkm
metadata_125.yaml,38,inst_class: Piano
metadata_125.yaml,41,midi_program_name: Electric Piano 1
metadata_126.yaml,83,inst_class: Piano
metadata_126.yaml,86,midi_program_name: Electric Piano 2
metadata_127.yaml,38,inst_class: Piano
metadata_127.yaml,41,midi_program_name: Bright Acoustic Piano
metadata_128.yaml,38,inst_class: Piano
metadata_128.yaml,47,inst_class: Piano
metadata_128.yaml,50,midi_program_name: Bright Acoustic Piano
metadata_128.yaml,52,plugin_name: upright_piano.nkm
metadata_128.yaml,110,inst_class: Piano
metadata_128.yaml,113,midi_program_name: Acoustic Grand Piano
metadata_128.yaml,115,plugin_name: grand_piano.nkm
metadata_129.yaml,29,inst_class: Piano
metadata_129.yaml,32,midi_program_name: Bright Acoustic Piano
metadata_129.yaml,34,plugin_name: grand_piano.nkm
metadata_129.yaml,38,inst_class: Piano
metadata_129.yaml,41,midi_program_name: Bright Acoustic Piano
metadata_129.yaml,43,plugin_name: grand_piano.nkm
metadata_13.yaml,56,inst_class: Piano
metadata_13.yaml,59,midi_program_name: Electric Piano 2
metadata_13.yaml,101,inst_class: Piano
metadata_13.yaml,104,midi_program_name: Honky-tonk Piano
metadata_13.yaml,110,inst_class: Piano
metadata_13.yaml,112,midi_program_name: Acoustic Grand Piano
metadata_130.yaml,20,inst_class: Piano
metadata_130.yaml,23,midi_program_name: Bright Acoustic Piano
metadata_130.yaml,25,plugin_name: grand_piano.nkm
metadata_131.yaml,11,inst_class: Piano
metadata_131.yaml,14,midi_program_name: Electric Piano 2
metadata_131.yaml,128,inst_class: Piano
metadata_132.yaml,20,inst_class: Piano
metadata_132.yaml,23,midi_program_name: Bright Acoustic Piano
metadata_132.yaml,92,inst_class: Piano
metadata_132.yaml,95,midi_program_name: Electric Piano 1
metadata_133.yaml,65,inst_class: Piano
metadata_133.yaml,68,midi_program_name: Bright Acoustic Piano
metadata_134.yaml,11,inst_class: Piano
metadata_134.yaml,14,midi_program_name: Acoustic Grand Piano
metadata_134.yaml,29,inst_class: Piano
metadata_135.yaml,29,inst_class: Piano
metadata_135.yaml,32,midi_program_name: Bright Acoustic Piano
metadata_135.yaml,91,inst_class: Piano
metadata_135.yaml,94,midi_program_name: Acoustic Grand Piano
metadata_136.yaml,47,inst_class: Piano
metadata_136.yaml,50,midi_program_name: Honky-tonk Piano
metadata_137.yaml,20,inst_class: Piano
metadata_137.yaml,23,midi_program_name: Electric Piano 2
metadata_137.yaml,29,inst_class: Piano
metadata_137.yaml,32,midi_program_name: Acoustic Grand Piano
metadata_138.yaml,47,inst_class: Piano
metadata_138.yaml,50,midi_program_name: Electric Piano 2
metadata_139.yaml,82,inst_class: Piano
metadata_139.yaml,85,midi_program_name: Electric Piano 2
metadata_14.yaml,11,inst_class: Piano
metadata_14.yaml,14,midi_program_name: Bright Acoustic Piano
metadata_14.yaml,65,inst_class: Piano
metadata_14.yaml,67,midi_program_name: Acoustic Grand Piano
metadata_14.yaml,69,plugin_name: grand_piano.nkm
metadata_140.yaml,20,inst_class: Piano
metadata_140.yaml,23,midi_program_name: Bright Acoustic Piano
metadata_140.yaml,25,plugin_name: upright_piano.nkm
metadata_141.yaml,29,inst_class: Piano
metadata_141.yaml,32,midi_program_name: Electric Piano 2
metadata_142.yaml,11,inst_class: Piano
metadata_142.yaml,14,midi_program_name: Bright Acoustic Piano
metadata_142.yaml,65,inst_class: Piano
metadata_142.yaml,68,midi_program_name: Electric Piano 2
metadata_143.yaml,38,inst_class: Piano
metadata_143.yaml,41,midi_program_name: Electric Piano 2
metadata_144.yaml,20,inst_class: Piano
metadata_144.yaml,23,midi_program_name: Electric Piano 1
metadata_144.yaml,29,inst_class: Piano
metadata_144.yaml,32,midi_program_name: Electric Piano 1
metadata_145.yaml,29,inst_class: Piano
metadata_145.yaml,32,midi_program_name: Electric Piano 2
metadata_146.yaml,46,inst_class: Piano
metadata_146.yaml,49,midi_program_name: Bright Acoustic Piano
metadata_147.yaml,65,inst_class: Piano
metadata_147.yaml,68,midi_program_name: Electric Piano 2
metadata_148.yaml,29,inst_class: Piano
metadata_148.yaml,32,midi_program_name: Honky-tonk Piano
metadata_148.yaml,56,inst_class: Piano
metadata_148.yaml,59,midi_program_name: Acoustic Grand Piano
metadata_149.yaml,56,inst_class: Piano
metadata_149.yaml,101,inst_class: Piano
metadata_149.yaml,104,midi_program_name: Acoustic Grand Piano
metadata_149.yaml,110,inst_class: Piano
metadata_149.yaml,113,midi_program_name: Electric Piano 1
metadata_15.yaml,11,inst_class: Piano
metadata_15.yaml,14,midi_program_name: Electric Piano 2
metadata_15.yaml,101,inst_class: Piano
metadata_15.yaml,104,midi_program_name: Acoustic Grand Piano
metadata_15.yaml,106,plugin_name: upright_piano.nkm
metadata_150.yaml,38,inst_class: Piano
