archivo,directorio,track_name,uuid,stem_id,instrumento,clase,plugin,programa
metadata.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\Slakh2100,Slakh2100,1a81ae092884234f3264e2f45927f00a,S02,Bright Acoustic Piano,Piano,the_giant_modern_studio.nkm,1
metadata_1.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\Slakh2100,Slakh2100,0c3b7bf33cd3d67970ecfc06339bfc49,S06,Clavinet,Piano,scarbee_a_200.nkm,7
metadata_10.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\Slakh2100,Slakh2100,9082d742f01b4d8f283620a3f7007be5,S02,Bright Acoustic Piano,Piano,concert_grand.nkm,1
metadata_100.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\Slakh2100,Slakh2100,2ce40905099dadbf3c25573b77e212c9,S02,Acoustic Grand Piano,Piano,ragtime_piano.nkm,0
metadata_100.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\Slakh2100,Slakh2100,2ce40905099dadbf3c25573b77e212c9,S05,Electric Piano 2,Piano,scarbee_clavinet_full.nkm,5
metadata_101.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\Slakh2100,Slakh2100,cd5f2a070f3de778c8d2b94a8ffa3f6c,S02,Bright Acoustic Piano,Piano,harpsichord.nkm,1
metadata_102.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\Slakh2100,Slakh2100,3f66c7d4e234b346b7b81eefa22e9500,S05,Electric Piano 2,Piano,scarbee_mark_I.nkm,5
metadata_103.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\Slakh2100,Slakh2100,2cda565985b98222d71d342d77a2c041,S02,Electric Piano 1,Piano,scarbee_pianet.nkm,4
metadata_103.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\Slakh2100,Slakh2100,2cda565985b98222d71d342d77a2c041,S08,Electric Piano 2,Piano,scarbee_mark_I.nkm,5
metadata_104.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\Slakh2100,Slakh2100,70fb9f2cc582697ad4c1f72a550ed4df,S03,Bright Acoustic Piano,Piano,harpsichord.nkm,1
metadata_105.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\Slakh2100,Slakh2100,ae9883762e38738327a2a95b291c6669,S07,Electric Piano 1,Piano,scarbee_clavinet_full.nkm,4
metadata_105.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\Slakh2100,Slakh2100,ae9883762e38738327a2a95b291c6669,S10,Acoustic Grand Piano,Piano,ragtime_piano.nkm,0
metadata_106.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\Slakh2100,Slakh2100,8e1cb07297961c4dfb02915a9aecf458,S01,Electric Piano 1,Piano,wurly_ep.nkm,4
metadata_106.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\Slakh2100,Slakh2100,8e1cb07297961c4dfb02915a9aecf458,S04,Acoustic Grand Piano,Piano,grand_piano.nkm,0
