archivo,directorio,track_name,artist,title,uuid,stem_id,instrumento,clase,plugin,programa,filename,raw_details
Adele_SomeoneLikeYou_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Adele,Someone Like You,N/A,S01,piano,,N/A,N/A,Adele_SomeoneLikeYou_STEM_01.wav,R01: piano; R02: piano
Aerosmith_LoveInAnElevator_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Aerosmith,Love in an Elevator,N/A,S04,"female speaker, distorted electric guitar, drum set, piano, synthesizer, shaker",,N/A,N/A,Aerosmith_LoveInAnElevator_STEM_04.wav,"R01: female speaker, distorted electric guitar, drum set, piano, synthesizer, shaker; R02: female speaker, distorted electric guitar, drum set, piano, synthesizer, shaker"
AimeeNorwich_Child_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Aimee Norwich,Child,N/A,S06,piano,,N/A,N/A,AimeeNorwich_Child_STEM_06.wav,R01: piano; R02: piano; R03: fx/processed sound; R04: fx/processed sound
AimeeNorwich_Flying_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Aimee Norwich,Flying,N/A,S09,piano,,N/A,N/A,AimeeNorwich_Flying_STEM_09.wav,R01: piano; R02: piano; R03: piano; R04: piano
ArcadeFire_BlackMirror_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Arcade Fire,Black Mirror,N/A,S02,"acoustic guitar, clean electric guitar, piano",,N/A,N/A,ArcadeFire_BlackMirror_STEM_02.wav,"R01: acoustic guitar, clean electric guitar, piano"
ArcadeFire_BlackMirror_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Arcade Fire,Black Mirror,N/A,S07,"piano, acoustic guitar",,N/A,N/A,ArcadeFire_BlackMirror_STEM_07.wav,"R01: piano, acoustic guitar"
Auctioneer_OurFutureFaces_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Auctioneer,Our Future Faces,N/A,S10,piano,,N/A,N/A,Auctioneer_OurFutureFaces_STEM_10.wav,R01: piano; R02: piano
BarefootSisters_RedJetta_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Barefoot Sisters,Red Jetta,N/A,S03,piano,,N/A,N/A,BarefootSisters_RedJetta_STEM_03.wav,R01: piano; R02: piano
Blink182_AllTheSmallThings_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Blink 182,All the Small Things,N/A,S05,"synthesizer, high hat, male singer, vocalists, piano, clean electric guitar",,N/A,N/A,Blink182_AllTheSmallThings_STEM_05.wav,"R01: synthesizer, high hat, male singer, vocalists, piano, clean electric guitar; R02: synthesizer, high hat, male singer, vocalists, piano, clean electric guitar"
BobSeger_OldTimeRockAndRoll_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Bob Seger,Old Time Rock And Roll,N/A,S05,piano,,N/A,N/A,BobSeger_OldTimeRockAndRoll_STEM_05.wav,R01: piano; R02: piano
BrandonWebster_DontHearAThing_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Caitlin Michelle Remmel & Benjamin Hood,Don't Hear A Thing,N/A,S03,piano,,N/A,N/A,BrandonWebster_DontHearAThing_STEM_03.wav,R01: piano; R02: piano
BrandonWebster_YesSirICanFly_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Cameron-Mitchell Ware & Sergi Casanelles,Yes Sir I Can Fly,N/A,S01,piano,,N/A,N/A,BrandonWebster_YesSirICanFly_STEM_01.wav,R01: piano; R02: piano
BrunoMars_Grenade_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Bruno Mars,Grenade,N/A,S05,electric piano,,N/A,N/A,BrunoMars_Grenade_STEM_05.wav,R01: electric piano; R02: electric piano
BrunoMars_JustTheWayYouAre_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Bruno Mars,Just The Way You Are,N/A,S02,piano,,N/A,N/A,BrunoMars_JustTheWayYouAre_STEM_02.wav,R01: piano; R02: piano
CarrieUnderwood_HomeSweetHome_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Carrie Underwood,Home Sweet Home,N/A,S04,piano,,N/A,N/A,CarrieUnderwood_HomeSweetHome_STEM_04.wav,R01: piano; R02: piano
CassandraJenkins_PerfectDay_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Cassandra Jenkins,Perfect Day,N/A,S03,piano,melody,N/A,N/A,CassandraJenkins_PerfectDay_STEM_03.wav,R01: piano; R02: piano; R03: piano; R04: piano
CeeloGreen_ForgetYou_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,CeeLo Green,Forget You,N/A,S04,piano,,N/A,N/A,CeeloGreen_ForgetYou_STEM_04.wav,R01: piano; R02: piano
CelestialShore_DieForUs_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Celestial Shore,Die For Us,N/A,S07,tack piano,melody,N/A,N/A,CelestialShore_DieForUs_STEM_07.wav,R01: tack piano; R02: tack piano
CherryPoppinDaddies_ZootSuitRiot_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Cherry Poppin Daddies,Zoot Suit Riot,N/A,S07,piano,,N/A,N/A,CherryPoppinDaddies_ZootSuitRiot_STEM_07.wav,R01: piano; R02: piano
ChristinaAguilera_GenieInABottle_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Christina Aguilera,Genie In A Bottle,N/A,S06,piano,,N/A,N/A,ChristinaAguilera_GenieInABottle_STEM_06.wav,R01: piano; R02: piano
ClaraBerryAndWooldog_AirTraffic_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Clara Berry and Wooldog,Air Traffic,N/A,S06,piano,,N/A,N/A,ClaraBerryAndWooldog_AirTraffic_STEM_06.wav,R01: piano
ClaraBerryAndWooldog_Boys_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Clara Berry and Wooldog,Boys,N/A,S05,piano,melody,N/A,N/A,ClaraBerryAndWooldog_Boys_STEM_05.wav,R01: piano; R02: piano; R03: piano; R04: piano; R05: piano
ClaraBerryAndWooldog_Boys_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Clara Berry and Wooldog,Boys,N/A,S09,tack piano,,N/A,N/A,ClaraBerryAndWooldog_Boys_STEM_09.wav,R01: tack piano
ClaraBerryAndWooldog_Stella_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Clara Berry and Wooldog,Stella,N/A,S05,piano,,N/A,N/A,ClaraBerryAndWooldog_Stella_STEM_05.wav,R01: piano; R02: piano
ClaraBerryAndWooldog_TheBadGuys_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Clara Berry and Wooldog,The Bad Guys,N/A,S01,piano,,N/A,N/A,ClaraBerryAndWooldog_TheBadGuys_STEM_01.wav,R01: piano; R02: piano
ClaraBerryAndWooldog_WaltzForMyVictims_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Clara Berry and Wooldog,Waltz For My Victims,N/A,S03,piano,melody,N/A,N/A,ClaraBerryAndWooldog_WaltzForMyVictims_STEM_03.wav,R01: piano
CroqueMadame_Oil_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Croque Madame,Oil,N/A,S01,piano,melody,N/A,N/A,CroqueMadame_Oil_STEM_01.wav,R01: piano; R02: piano
CroqueMadame_Pilot_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Croque Madame,Pilot (Lakelot),N/A,S01,piano,melody,N/A,N/A,CroqueMadame_Pilot_STEM_01.wav,R01: piano; R02: piano
Debussy_LenfantProdigue_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,NYU,Lenfant prodigue,N/A,S02,piano,melody,N/A,N/A,Debussy_LenfantProdigue_STEM_02.wav,R01: piano; R02: piano; R03: piano; R04: piano
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Declare A String,Mendelssohn Piano Trio 1 Movement 1,N/A,S01,piano,melody,N/A,N/A,DeclareAString_MendelssohnPianoTrio1Movement1_STEM_01.wav,R01: piano; R02: piano
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Declare a String,Mendelssohn Piano Trio 1 Movement 2,N/A,S04,piano,melody,N/A,N/A,DeclareAString_MendelssohnPianoTrio1Movement2_STEM_04.wav,R01: piano; R02: piano; R03: piano; R04: piano
EthanHein_GirlOnABridge_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Ethan Hein,Girl On A Bridge,N/A,S02,piano,,N/A,N/A,EthanHein_GirlOnABridge_STEM_02.wav,R01: piano; R02: piano
