Nombre de la carpeta,Instrument,Stem,Posible archivo stem
AcDc_BackInBlack,Main System,S01,AcDc_BackInBlack_STEM_01.wav
AcDc_BackInBlack,distorted electric guitar,S02,AcDc_BackInBlack_STEM_02.wav
AcDc_BackInBlack,electric bass,S03,AcDc_BackInBlack_STEM_03.wav
AcDc_BackInBlack,distorted electric guitar,S04,AcDc_BackInBlack_STEM_04.wav
AcDc_BackInBlack,drum set,S05,AcDc_BackInBlack_STEM_05.wav
AcDc_BackInBlack,male singer,S06,AcDc_BackInBlack_STEM_06.wav
AClassicEducation_NightOwl,electric bass,S01,AClassicEducation_NightOwl_STEM_01.wav
AClassicEducation_NightOwl,drum set,S02,AClassicEducation_NightOwl_STEM_02.wav
AClassicEducation_NightOwl,distorted electric guitar,S03,AClassicEducation_NightOwl_STEM_03.wav
AClassicEducation_NightOwl,distorted electric guitar,S04,AClassicEducation_NightOwl_STEM_04.wav
AClassicEducation_NightOwl,clean electric guitar,S05,AClassicEducation_NightOwl_STEM_05.wav
AClassicEducation_NightOwl,distorted electric guitar,S06,AClassicEducation_NightOwl_STEM_06.wav
AClassicEducation_NightOwl,distorted electric guitar,S07,AClassicEducation_NightOwl_STEM_07.wav
AClassicEducation_NightOwl,male singer,S08,AClassicEducation_NightOwl_STEM_08.wav
AClassicEducation_NightOwl,synthesizer,S09,AClassicEducation_NightOwl_STEM_09.wav
AClassicEducation_NightOwl,vocalists,S10,AClassicEducation_NightOwl_STEM_10.wav
AClassicEducation_NightOwl,tambourine,S11,AClassicEducation_NightOwl_STEM_11.wav
AClassicEducation_NightOwl,fx/processed sound,S12,AClassicEducation_NightOwl_STEM_12.wav
AClassicEducation_NightOwl,male singer,S13,AClassicEducation_NightOwl_STEM_13.wav
Adele_SomeoneLikeYou,piano,S01,Adele_SomeoneLikeYou_STEM_01.wav
Adele_SomeoneLikeYou,"['female singer', 'vocalists']",S02,Adele_SomeoneLikeYou_STEM_02.wav
Aerosmith_LoveInAnElevator,drum set,S01,Aerosmith_LoveInAnElevator_STEM_01.wav
Aerosmith_LoveInAnElevator,electric bass,S02,Aerosmith_LoveInAnElevator_STEM_02.wav
Aerosmith_LoveInAnElevator,distorted electric guitar,S03,Aerosmith_LoveInAnElevator_STEM_03.wav
Aerosmith_LoveInAnElevator,"['female speaker', 'distorted electric guitar', 'drum set', 'piano', 'synthesizer', 'shaker']",S04,Aerosmith_LoveInAnElevator_STEM_04.wav
Aerosmith_LoveInAnElevator,"['male singer', 'vocalists']",S05,Aerosmith_LoveInAnElevator_STEM_05.wav
AHa_TakeOnMe,synthesizer,S01,AHa_TakeOnMe_STEM_01.wav
AHa_TakeOnMe,"['male singer', 'vocalists']",S02,AHa_TakeOnMe_STEM_02.wav
AHa_TakeOnMe,synthesizer,S03,AHa_TakeOnMe_STEM_03.wav
AHa_TakeOnMe,acoustic guitar,S04,AHa_TakeOnMe_STEM_04.wav
AHa_TakeOnMe,drum set,S05,AHa_TakeOnMe_STEM_05.wav
AHa_TakeOnMe,synthesizer,S06,AHa_TakeOnMe_STEM_06.wav
AimeeNorwich_Child,drum set,S01,AimeeNorwich_Child_STEM_01.wav
AimeeNorwich_Child,electric bass,S02,AimeeNorwich_Child_STEM_02.wav
AimeeNorwich_Child,clean electric guitar,S03,AimeeNorwich_Child_STEM_03.wav
AimeeNorwich_Child,female singer,S04,AimeeNorwich_Child_STEM_04.wav
AimeeNorwich_Child,vocalists,S05,AimeeNorwich_Child_STEM_05.wav
AimeeNorwich_Child,piano,S06,AimeeNorwich_Child_STEM_06.wav
AimeeNorwich_Child,acoustic guitar,S07,AimeeNorwich_Child_STEM_07.wav
AimeeNorwich_Flying,drum set,S01,AimeeNorwich_Flying_STEM_01.wav
AimeeNorwich_Flying,fx/processed sound,S02,AimeeNorwich_Flying_STEM_02.wav
AimeeNorwich_Flying,electric bass,S03,AimeeNorwich_Flying_STEM_03.wav
AimeeNorwich_Flying,clean electric guitar,S04,AimeeNorwich_Flying_STEM_04.wav
AimeeNorwich_Flying,clean electric guitar,S05,AimeeNorwich_Flying_STEM_05.wav
AimeeNorwich_Flying,fx/processed sound,S06,AimeeNorwich_Flying_STEM_06.wav
AimeeNorwich_Flying,fx/processed sound,S07,AimeeNorwich_Flying_STEM_07.wav
