title,artist,instruments
Someone Like You,Adele,"vocalists, female singer, piano"
Love in an Elevator,Aerosmith,"male singer, drum set, electric bass, piano, shaker, kick drum, synthesizer, toms, vocalists, high hat, distorted electric guitar, female speaker, snare drum"
Child,Aimee Norwich,"drum set, electric bass, clean electric guitar, piano, kick drum, female singer, toms, vocalists, acoustic guitar, fx/processed sound, snare drum"
Flying,Aimee Norwich,"clarinet, drum set, electric bass, clean electric guitar, piano, trombone, kick drum, toms, cello, fx/processed sound, snare drum"
Black Mirror,Arcade Fire,"male singer, drum set, electric bass, clean electric guitar, piano, female singer, vocalists, acoustic guitar, fx/processed sound, harp, string section, woodwind section"
Our Future Faces,Auctioneer,"male singer, drum set, electric bass, clean electric guitar, shaker, piano, kick drum, toms, vocalists, vibraphone, horn section, fx/processed sound, banjo, auxiliary percussion, snare drum"
Red Jetta,Barefoot Sisters,"drum set, piano, kick drum, vocalists, high hat, acoustic guitar, snare drum"
All the Small Things,Blink 182,"male singer, drum set, electric bass, piano, clean electric guitar, kick drum, synthesizer, vocalists, high hat, cymbal, distorted electric guitar, snare drum"
Old Time Rock And Roll,Bob Seger,"male singer, drum set, electric bass, piano, kick drum, toms, vocalists, high hat, distorted electric guitar, snare drum"
Don't Hear A Thing,Caitlin Michelle Remmel & Benjamin Hood,"female singer, male speaker, piano"
Yes Sir I Can Fly,Cameron-Mitchell Ware & Sergi Casanelles,"male singer, piano"
Grenade,Bruno Mars,"male singer, drum set, electric bass, kick drum, electric piano, toms, vocalists, distorted electric guitar, Unlabeled"
Just The Way You Are,Bruno Mars,"male singer, drum set, electric bass, piano, kick drum, synthesizer, vocalists, Unlabeled"
Home Sweet Home,Carrie Underwood,"drum set, electric bass, piano, female singer, string section, acoustic guitar, distorted electric guitar"
Perfect Day,Cassandra Jenkins,"drum set, electric bass, piano, female singer, synthesizer, acoustic guitar, horn section, string section"
Forget You,CeeLo Green,"male singer, electric bass, piano, clean electric guitar, Unlabeled, electronic organ, auxiliary percussion"
Die For Us,Celestial Shore,"male singer, drum set, electric bass, clean electric guitar, kick drum, synthesizer, female singer, tack piano, snare drum"
Zoot Suit Riot,Cherry Poppin Daddies,"trumpet, double bass, male singer, drum set, clean electric guitar, piano, vocalists, horn section"
Genie In A Bottle,Christina Aguilera,"shaker, electric bass, piano, kick drum, synthesizer, female singer, vocalists, high hat, drum machine, cymbal, distorted electric guitar, snare drum"
Air Traffic,Clara Berry and Wooldog,"drum set, electric bass, clean electric guitar, piano, timpani, lap steel guitar, female singer"
Boys,Clara Berry and Wooldog,"bass drum, drum set, piano, timpani, synthesizer, female singer, tambourine, brass section, vocalists, tack piano, fx/processed sound, tenor saxophone, snare drum"
Stella,Clara Berry and Wooldog,"bass drum, drum set, electric bass, piano, cowbell, synthesizer, toms, female singer, vocalists, high hat, vibraphone, guiro, fx/processed sound, auxiliary percussion, snare drum"
The Bad Guys,Clara Berry and Wooldog,"fx/processed sound, female singer, piano"
