title,artist,instruments
Back In Black,AC DC,"male singer, drum set, electric bass, kick drum, Main System, high hat, cymbal, distorted electric guitar"
Night Owl,A Classic Education,"male singer, drum set, electric bass, clean electric guitar, kick drum, synthesizer, female singer, vocalists, tambourine, fx/processed sound, distorted electric guitar, snare drum"
Someone Like You,Adele,"vocalists, female singer, piano"
Love in an Elevator,Aerosmith,"male singer, drum set, electric bass, piano, shaker, kick drum, synthesizer, toms, vocalists, high hat, distorted electric guitar, female speaker, snare drum"
Take On Me,A Ha,"male singer, drum set, synthesizer, vocalists, acoustic guitar"
Child,Aimee Norwich,"drum set, electric bass, clean electric guitar, piano, kick drum, female singer, toms, vocalists, acoustic guitar, fx/processed sound, snare drum"
Flying,Aimee Norwich,"clarinet, drum set, electric bass, clean electric guitar, piano, trombone, kick drum, toms, cello, fx/processed sound, snare drum"
You Oughta Know,Alanis Morissette,"drum set, electric bass, clean electric guitar, female singer, high hat, fx/processed sound, distorted electric guitar"
Goodbye Bolero,Alexander Ross,"trumpet, male singer, drum set, electric bass, clean electric guitar, viola section, kick drum, euphonium, brass section, high hat, viola, harmonica, acoustic guitar, snare drum"
Velvet Curtain,Alexander Ross,"trumpet, male singer, drum set, electric bass, clean electric guitar, kick drum, euphonium, toms, brass section, high hat, cello, vocalists, acoustic guitar, string section, snare drum"
Mendelssohn Movement 1,Allegria,"viola, cello, Main System, violin"
Chiron,All That Remains,"male singer, drum set, electric bass, kick drum, male screamer, high hat, acoustic guitar, distorted electric guitar"
Mozart Allegro,Amadeus Redux,"viola, cello, Main System, violin"
Schubert Movement 2,Amadeus Redux,"viola, cello, Main System, violin"
Schubert Movement 3,Amadeus Redux,"viola, cello, Main System, violin"
Rest,Amar Lal,"fx/processed sound, clean electric guitar"
Spring Day 1,Amar Lal,acoustic guitar
The Feel Good Drag,Anberlin,"male singer, drum set, electric bass, kick drum, synthesizer, vocalists, tambourine, cymbal, distorted electric guitar, snare drum"
Anything,An Endless Sporadic,"drum set, electric bass, shaker, kick drum, synthesizer, toms, cymbal, fx/processed sound, distorted electric guitar, auxiliary percussion, snare drum"
Black Mirror,Arcade Fire,"male singer, drum set, electric bass, clean electric guitar, piano, female singer, vocalists, acoustic guitar, fx/processed sound, harp, string section, woodwind section"
Brainstorm,Arctic Monkeys,"male singer, drum set, electric bass, kick drum, tambourine, vocalists, distorted electric guitar"
Our Future Faces,Auctioneer,"male singer, drum set, electric bass, clean electric guitar, shaker, piano, kick drum, toms, vocalists, vibraphone, horn section, fx/processed sound, banjo, auxiliary percussion, snare drum"
Waterduct,Ava Luna,"male singer, drum set, electric bass, clean electric guitar, kick drum, synthesizer, female singer, vocalists, vibraphone, fx/processed sound, distorted electric guitar, snare drum"
01 Ach Gottund Herr,Bach10,"bassoon, clarinet, tenor saxophone, violin"
02 Ach Lieben Christen,Bach10,"bassoon, clarinet, tenor saxophone, violin"
03 Christederdubist Tagund Licht,Bach10,"bassoon, clarinet, tenor saxophone, violin"
04 Christe Du Beistand,Bach10,"bassoon, clarinet, tenor saxophone, violin"
05 Die Nacht,Bach10,"bassoon, clarinet, tenor saxophone, violin"
06 Die Sonne,Bach10,"bassoon, clarinet, tenor saxophone, violin"
07 Herr Gott,Bach10,"bassoon, clarinet, tenor saxophone, violin"
08 Fuer Deinen Thron,Bach10,"bassoon, clarinet, tenor saxophone, violin"
09 Jesus,Bach10,"bassoon, clarinet, tenor saxophone, violin"
10 Nun Bitten,Bach10,"bassoon, clarinet, tenor saxophone, violin"
Red Jetta,Barefoot Sisters,"drum set, piano, kick drum, vocalists, high hat, acoustic guitar, snare drum"
Phantom,Big Troubles,"male singer, drum set, electric bass, clean electric guitar, kick drum, distorted electric guitar, snare drum"
White Wedding,Billy Idol,"male singer, drum set, electric bass, clean electric guitar, kick drum, synthesizer, toms, choir, vocalists, high hat, distorted electric guitar, snare drum"
The Stroke,Billy Squier,"male singer, drum set, electric bass, kick drum, vocalists, high hat, fx/processed sound, distorted electric guitar, snare drum"
I Gotta Feeling,Black Eyed Peas,"male singer, clean electric guitar, kick drum, cello section, synthesizer, female singer, vocalists, cymbal, drum machine, violin section, snare drum"
War Pigs,Black Sabbath,"male singer, drum set, electric bass, kick drum, cymbal, distorted electric guitar, Unlabeled, snare drum"
All the Small Things,Blink 182,"male singer, drum set, electric bass, piano, clean electric guitar, kick drum, synthesizer, vocalists, high hat, cymbal, distorted electric guitar, snare drum"
One Way Or Another,Blondie,"drum set, electric bass, kick drum, female singer, toms, synthesizer, vocalists, cymbal, distorted electric guitar, snare drum"
Don't Fear the Reaper,Blue Oyster Cult,"male singer, drum set, electric bass, clean electric guitar, kick drum, electronic organ, synthesizer, vocalists, cymbal, auxiliary percussion, snare drum"
Old Time Rock And Roll,Bob Seger,"male singer, drum set, electric bass, piano, kick drum, toms, vocalists, high hat, distorted electric guitar, snare drum"
More Than a Feeling,Boston,"male singer, drum set, electric bass, kick drum, toms, vocalists, high hat, acoustic guitar, Unlabeled, snare drum"
Mud On The Tires,Brad Paisley,"male singer, drum set, electric bass, kick drum, high hat, acoustic guitar, distorted electric guitar, Unlabeled, snare drum"
Don't Hear A Thing,Caitlin Michelle Remmel & Benjamin Hood,"female singer, male speaker, piano"
Yes Sir I Can Fly,Cameron-Mitchell Ware & Sergi Casanelles,"male singer, piano"
Hillbilly Deluxe,Brooks Dunn,"male singer, drum set, electric bass, clean electric guitar, kick drum, toms, vocalists, high hat, Unlabeled, snare drum"
Grenade,Bruno Mars,"male singer, drum set, electric bass, kick drum, electric piano, toms, vocalists, distorted electric guitar, Unlabeled"
Just The Way You Are,Bruno Mars,"male singer, drum set, electric bass, piano, kick drum, synthesizer, vocalists, Unlabeled"
Marry You,Bruno Mars,"male singer, drum set, electric bass, clean electric guitar, vocalists, fx/processed sound, Unlabeled"
Summer of 69,Bryan Adams,"male singer, drum set, electric bass, kick drum, distorted electric guitar, Unlabeled, snare drum"
Machinehead,Bush,"drum set, electric bass, kick drum, cymbal, distorted electric guitar, Unlabeled, snare drum"
Kung Fu Fighting,Carl Douglas,"male singer, drum set, electric bass, kick drum, toms, vocalists, high hat, Unlabeled, snare drum"
Home Sweet Home,Carrie Underwood,"drum set, electric bass, piano, female singer, string section, acoustic guitar, distorted electric guitar"
Perfect Day,Cassandra Jenkins,"drum set, electric bass, piano, female singer, synthesizer, acoustic guitar, horn section, string section"
I Promise,Cat Martino,"drum set, electronic organ, female singer, synthesizer, drum machine, fx/processed sound"
Miss Thing,Cayetana,"distorted electric guitar, drum set, electric bass, female singer"
Forget You,CeeLo Green,"male singer, electric bass, piano, clean electric guitar, Unlabeled, electronic organ, auxiliary percussion"
Die For Us,Celestial Shore,"male singer, drum set, electric bass, clean electric guitar, kick drum, synthesizer, female singer, tack piano, snare drum"
I Want You To Want Me,Cheap Trick,"male singer, drum set, electric bass, kick drum, high hat, distorted electric guitar, snare drum"
Zoot Suit Riot,Cherry Poppin Daddies,"trumpet, double bass, male singer, drum set, clean electric guitar, piano, vocalists, horn section"
Yeah,Chris Brown,"male singer, electric bass, synthesizer, vocalists, drum machine, fx/processed sound"
Booth Shot Lincoln,Chris Jacoby,"tabla, mandolin, clean electric guitar, drum machine"
Pigs Foot,Chris Jacoby,"kick drum, tabla, mandolin, electric bass"
Genie In A Bottle,Christina Aguilera,"shaker, electric bass, piano, kick drum, synthesizer, female singer, vocalists, high hat, drum machine, cymbal, distorted electric guitar, snare drum"
Tenderoni,Chromeo,"male singer, drum set, shaker, clean electric guitar, kick drum, synthesizer, toms, vocalists, high hat, snare drum"
Tubthumping,Chumbawamba,"drum set, synthesizer, vocalists, acoustic guitar, trumpet section, distorted electric guitar, Unlabeled"
Air Traffic,Clara Berry and Wooldog,"drum set, electric bass, clean electric guitar, piano, timpani, lap steel guitar, female singer"
Boys,Clara Berry and Wooldog,"bass drum, drum set, piano, timpani, synthesizer, female singer, tambourine, brass section, vocalists, tack piano, fx/processed sound, tenor saxophone, snare drum"
Stella,Clara Berry and Wooldog,"bass drum, drum set, electric bass, piano, cowbell, synthesizer, toms, female singer, vocalists, high hat, vibraphone, guiro, fx/processed sound, auxiliary percussion, snare drum"
The Bad Guys,Clara Berry and Wooldog,"fx/processed sound, female singer, piano"
Waltz For My Victims,Clara Berry and Wooldog,"drum set, electric bass, piano, glockenspiel, kick drum, female singer"
In My Place,Coldplay,"male singer, drum set, clean electric guitar, synthesizer, Unlabeled"
Shiver,Coldplay,"male singer, drum set, electric bass, clean electric guitar, kick drum, toms, high hat, Unlabeled, snare drum"
Hang Me Up To Dry,Cold War Kids,"male singer, drum set, electric bass, clean electric guitar, kick drum, toms, high hat, Unlabeled, snare drum"
Put Your Records On,Corinne Bailey Rae,"drum set, electric bass, kick drum, female singer, toms, vocalists, high hat, acoustic guitar, Unlabeled, snare drum"
Accidentally In Love,Counting Crows,"male singer, drum set, electric bass, kick drum, acoustic guitar, mandolin, distorted electric guitar, Unlabeled"
Shake,Count Zero,"male singer, drum set, electric bass, kick drum, cymbal, distorted electric guitar, Unlabeled, snare drum"
Jingle Bells,Crazy Frog,"Unlabeled, synthesizer, vocalists, acoustic guitar, drum machine, fx/processed sound, auxiliary percussion"
Old Tree,Creepoid,"male singer, drum set, electric bass, sleigh bells, shaker, kick drum, female singer, vocalists, tambourine, fx/processed sound, distorted electric guitar, auxiliary percussion, snare drum"
Oil,Croque Madame,"double bass, drum set, clean electric guitar, piano, kick drum, toms, high hat, cymbal, snare drum"
Pilot (Lakelot),Croque Madame,"double bass, drum set, clean electric guitar, piano, kick drum, toms, high hat, cymbal, snare drum"
